title,description,providing_technologies,category,usecase,mitre_tactics,mitre_techniques,killchain,qualified_search
Spike in Password Reset Emails,Sending password reset emails is a common phishing technique. Protect your users by identifying spikes in the number of suspicious emails entering your environment.,['Email'],"Account Compromise, SaaS",Security Monitoring,['Initial Access'],['Spearphishing Link'],['Delivery'],"index=* sourcetype=cisco:esa* OR sourcetype=ms:o365:*:messagetrace OR sourcetype=MSExchange*:MessageTracking OR tag=email Password Reset | eval Detect_Type=case(LIKE(Subject, ""%Password Reset%""), ""Password Reset"", LIKE(Subject, ""%Validate Credentials%""), ""Validate Credentials"",1=1, null) | bucket _time span=1d | stats count by _time Detect_Type | stats count as num_data_samples max(eval(if(_time >= relative_time(maxtime, ""-1d@d""), 'count',null))) as count avg(eval(if(_time<relative_time(maxtime,""-1d@d""),'count',null))) as avg stdev(eval(if(_time<relative_time(maxtime,""-1d@d""),'count',null))) as stdev by Detect_Type | eval lowerBound=(avg-stdev*2), upperBound=(avg+stdev*2)| where 'count' > upperBound AND num_data_samples >=7"
Spike in SMB Traffic,This search looks for hosts with an unusually high increase in SMB network connections.,['Network Communication'],"Lateral Movement, Scanning, Ransomware","Advanced Threat Detection, Security Monitoring","['Discovery', 'Lateral Movement']","['Network Share Discovery', 'Ingress Tool Transfer', 'Remote Services']",['Actions On Objectives'],"index=* ((tag=network tag=communicate) OR (sourcetype=pan*traffic OR sourcetype=opsec OR sourcetype=cisco:asa OR sourcetype=stream* )) (dest_port=139 OR dest_port=445) | bucket _time span=1d | stats dc(dest_ip) as count by src_ip, _time | stats count as num_data_samples max(eval(if(_time >= relative_time(maxtime, ""-1d@d""), 'count',null))) as count avg(eval(if(_time<relative_time(maxtime,""-1d@d""),'count',null))) as avg stdev(eval(if(_time<relative_time(maxtime,""-1d@d""),'count',null))) as stdev by src_ip | eval lowerBound=(avg-stdev*undefined), upperBound=(avg+stdev*undefined)| where 'count' > upperBound AND num_data_samples >=7"
Stale Account Usage,Detect long-inactive accounts that suddenly become active.,"['Windows Security', 'Authentication']","Insider Threat, IAM Analytics, Account Compromise","Insider Threat, Security Monitoring","['Privilege Escalation', 'Persistence', 'Initial Access']",['Valid Accounts'],['Actions on Objectives'],"index=* source=""*WinEventLog:Security"" action=success | stats count min(_time) as earliest max(_time) as latest by user | multireport     [| stats values(*) as * by user     | lookup account_status_tracker user OUTPUT count as prior_count earliest as prior_earliest latest as prior_latest     | where prior_latest < relative_time(now(), ""-90d"")     | eval explanation=""The last login from this user was "" . (round( (earliest-prior_latest) / 3600/24, 2) ) . "" days ago.""     | convert ctime(earliest) ctime(latest) ctime(prior_earliest) ctime(prior_latest) ]     [| inputlookup append=t account_status_tracker     | stats min(earliest) as earliest max(latest) as latest sum(count) as count by user     | outputlookup account_status_tracker     | where this_only_exists_to_update_the_lookup='so we will make sure there are no results'] "
Successful Login of Account for Former Employee,You shouldn't see any successful authentication activity on the accounts of former employees. Track this easily in Splunk.,"['Windows Security', 'Authentication']","Account Compromise, Insider Threat","Security Monitoring, Insider Threat","['Privilege Escalation', 'Credential Access']","['Valid Accounts', 'Account Manipulation']",['Actions on Objectives'],"index=* (source=""*WinEventLog:Security"" OR sourcetype=linux_secure OR tag=authentication) user=* user!="""" action=success | lookup user_account_status.csv user | where _time > relative_time(terminationDate, ""+1d"")"
Unauthorized Connection Through Firewall,"Any communication through the firewall not explicitly granted by policy could indicate either a misconfiguration or even malicious actions, putting your security and compliance at risk.",['Network Communication'],"GDPR, Data Exfiltration, Scanning","Security Monitoring, Compliance","['Exfiltration', 'Discovery', 'Command and Control']","['Exfiltration Over C2 Channel', 'Exfiltration Over Alternative Protocol', 'Custom Command and Control Protocol', 'Standard Cryptographic Protocol', 'Non-Application Layer Protocol', 'Network Service Scanning']",['Command and Control'],"index=pan_logs sourcetype=pan*traffic rule=""*-default"" action=allowed | lookup gdpr_system_category.csv host as src_ip | search category=*"
Unauthorized Connection Through Firewall,"Any communication through the firewall not explicitly granted by policy could indicate either a misconfiguration or even malicious actions, putting your security and compliance at risk.",['Network Communication'],"GDPR, Data Exfiltration, Scanning","Security Monitoring, Compliance","['Exfiltration', 'Discovery', 'Command and Control']","['Exfiltration Over C2 Channel', 'Exfiltration Over Alternative Protocol', 'Custom Command and Control Protocol', 'Standard Cryptographic Protocol', 'Non-Application Layer Protocol', 'Network Service Scanning']",['Command and Control'],"index=pan_logs sourcetype=pan*traffic rule=""*-default"" action=allowed | lookup gdpr_system_category.csv host as src_ip | search category=*"
Unsuccessful Netbackup Backups,This search gives you the hosts where a backup was attempted and then failed.,['Backup'],Compliance,Compliance,[],[],[],
Unusual Child Process for spoolsv.exe or connhost.exe,"In late August 2018, a new Windows Zero Day was announced via Twitter, and the only apparent defense is to detect unusual child processes from spoolsv.exe or connhost.exe. SSE already detected the POC, but this specifically looks for any potential detection.",['Endpoint Detection and Response'],Endpoint Compromise,Advanced Threat Detection,['Privilege Escalation'],['Exploitation for Privilege Escalation'],['Exploitation'],"index=* sourcetype=*sysmon* EventCode=1 (spoolsv.exe Image=*\spoolsv.exe) OR (connhost.exe Image=*\connhost.exe)  |table  _time host Image ProcessId ParentImage ParentProcessId sha1| stats earliest(_time) as earliest latest(_time) as latest  by Image, ParentImage | where earliest > relative_time(now(), ""-1d@d"") "
Unusual Cloud Regions,Looks for activity in IaaS Regions that have not been used before across the organization.,"['Audit Trail', 'GCP', 'Azure', 'AWS']","Account Compromise, SaaS",Advanced Threat Detection,"['Persistence', 'Privilege Escalation']",['Valid Accounts'],['Actions on Objectives'],"index=* sourcetype=aws:cloudtrail| stats earliest(_time) as earliest latest(_time) as latest  by awsRegion, sourcetype | where earliest > relative_time(now(), ""-1d@d"") "
Unusual Number of Modifications to Cloud ACLs,Looks for a large number of Security Group ACL changes in a short period of time for a user.,"['Audit Trail', 'GCP', 'Azure', 'AWS']","Account Compromise, IAM Analytics, Data Exfiltration, Network Attack, SaaS",Advanced Threat Detection,"['Persistence', 'Privilege Escalation']",['Valid Accounts'],['Actions on Objectives'],"index=* sourcetype=aws:cloudtrail eventName=AuthorizeSecurityGroup* | bucket _time span=1d | stats count by user _time| stats count as num_data_samples max(eval(if(_time >= relative_time(maxtime, ""-1d@d""), 'count',null))) as count avg(eval(if(_time<relative_time(maxtime,""-1d@d""),'count',null))) as avg stdev(eval(if(_time<relative_time(maxtime,""-1d@d""),'count',null))) as stdev by user | eval lowerBound=(avg-stdev*2), upperBound=(avg+stdev*2)| where 'count' > upperBound AND num_data_samples >=7"
Unusually Long Content-Type Length,This search looks for unusually long strings in the Content-Type http header that the client sends the server.,['Web Server'],Web Attack,Application Security,[],[],['Delivery'],
User Finding Project Code Names from Many Departments,Find users trying to collect and analyze internal projects from across multiple departments by analyzing their search logs on company wiki software.,['Web Server'],Insider Threat,Insider Threat,['Collection'],['Data from Information Repositories'],['Actions on Objectives'],"index=* source=""/opt/confluence/*/access_log*"" dosearchsite | eval queryString=urldecode(queryString) | rex field=queryString max_match=10 [| inputlookup sse_project_codenames | stats values(codeword) as search | eval search=mvjoin(search, ""|"") | eval search=""\""(?<codeword_matched>"" . search . "")\""""]  | lookup sse_project_codenames codeword as codeword_matched | bucket _time span=1d | stats dc(department) as count by user, _time | where count >= 5"
User Has Access to In-Scope Splunk Indexes They Should Not,Alerts the first time a user gains rights to search an index that they're not supposed to according to the output of a GDPR data source and GDPR user mapping exercise.,['Any Splunk Logs'],"GDPR, IAM Analytics, Operations","Insider Threat, Compliance",[],[],['Actions on Objectives'],"| `User_to_Index_Provisioning_From_Data_Governance_App`| lookup gdpr_splunk_index_category index as accessible_indexes OUTPUT category as index_category | search index_category=* | lookup gdpr_user_category user OUTPUT category as user_category| makemv delim=""|"" index_category | makemv delim=""|"" user_category | where isnull(user_category) OR user_category != index_category "
User Logged into In-Scope System They Should Not Have,"Follow your GDPR requirement and action your data mapping exercise by tracking employee/vendor/supplier access to systems, to ensure that they are authorized to view the data present on any systems they log into.","['Windows Security', 'Authentication']","GDPR, IAM Analytics, Lateral Movement, Operations","Insider Threat, Compliance","['Credential Access', 'Privilege Escalation', 'Collection']","['Valid Accounts', 'Data from Information Repositories', 'Account Manipulation']",['Actions on Objectives'],"index=* source=""*WinEventLog:Security"" user=* dest=* action=success | bucket _time span=1d | stats count by user, dest | lookup gdpr_system_category.csv host as dest OUTPUT category as dest_category | search dest_category=* | lookup gdpr_user_category user OUTPUT category as user_category| makemv delim=""|"" dest_category | makemv delim=""|"" user_category | where isnull(user_category) OR user_category != dest_category"
User Login to Unauthorized Geo,"For regulated environments, detect users logging into servers where they're not permitted.","['Authentication', 'AWS', 'Audit Trail']",Compliance,Compliance,['Initial Access'],['Valid Accounts'],['Actions on Objectives'],"index=* source=""*WinEventLog:Security"" action=success | lookup sse_host_to_country dest OUTPUT country as server_country | lookup gdpr_user_category user OUTPUT countries as authorized_countries | makemv authorized_countries delim=""|"" | where authorized_countries!=server_country AND server_country IN (""Germany"",""Japan"") | eval authorized_countries=mvjoin(authorized_countries, "", "") | stats dc(anonymized_ComputerName) as num_servers count as num_logins by user authorized_countries server_country"
User Login with Local Credentials,"Categorically, most interactive logins should use domain credentials. Detect when a new user logs on with local credentials that bypass most centralized logging and policy systems, but not Splunk!",['Windows Security'],"Insider Threat, Privilege Escalation, Endpoint Compromise, Account Compromise","Insider Threat, Security Monitoring","['Privilege Escalation', 'Initial Access', 'Credential Access']","['Valid Accounts', 'Account Manipulation']",[],"index=* source=""*WinEventLog:Security"" tag=authentication action=success Logon_Type=2 OR Logon_Type=10 OR Logon_Type=11 Logon Type NOT (Account_Domain=""NT Authority"" OR Account_Domain=""MYDOMAIN"" OR Account_Domain=""SUBSIDIARY*"" OR Account_Domain=""YourDomainsHere"" OR Account_Name=""*$"")| eval  Account_Domain=mvfilter(Account_Domain!=""-"")| table _time user Account_Domain, Authentication_Package, EventCode, Key_Length, Logon_Process, Logon_Type, Security_ID, Type"
User with Increase in Outgoing Email,"Both to detect data exfiltration and compromised account, we can analyze users that are sending out dramatically more data than normal. This search looks per source email address for big increases in volume.",['Email'],"Data Exfiltration, Endpoint Compromise, SaaS","Advanced Threat Detection, Insider Threat",['Exfiltration'],['Exfiltration Over Alternative Protocol'],['Actions on Objectives'],"index=* sourcetype=cisco:esa* OR sourcetype=ms:o365:*:messagetrace OR sourcetype=MSExchange*:MessageTracking OR tag=email src_user=*| bucket _time span=1d | stats count by src_user, _time| stats count as num_data_samples max(eval(if(_time >= relative_time(maxtime, ""-1d@d""), 'count',null))) as count avg(eval(if(_time<relative_time(maxtime,""-1d@d""),'count',null))) as avg stdev(eval(if(_time<relative_time(maxtime,""-1d@d""),'count',null))) as stdev by sender | eval lowerBound=(avg-stdev*2), upperBound=(avg+stdev*2)| where 'count' > upperBound AND num_data_samples >=7"
User with Many DLP Events,Detect users that have many DLP events in a short period of time.,['DLP'],Insider Threat,Insider Threat,['Exfiltration'],['Exfiltration'],['Actions on Objectives'],"index=* tag=dlp tag=incident | bucket _time span=1d | stats count by user| stats count as num_data_samples max(eval(if(_time >= relative_time(maxtime, ""-1d@d""), 'count',null))) as count avg(eval(if(_time<relative_time(maxtime,""-1d@d""),'count',null))) as avg stdev(eval(if(_time<relative_time(maxtime,""-1d@d""),'count',null))) as stdev by user | eval lowerBound=(avg-stdev*5), upperBound=(avg+stdev*5)| where 'count' > upperBound AND num_data_samples >=7"
WMI Permanent Event Subscription,This search looks for the creation of WMI permanent event subscriptions.,['Windows Security'],"Adversary Tactics,",Advanced Threat Detection,['Execution'],['Windows Management Instrumentation'],['Actions On Objectives'],
WMI Temporary Event Subscription,This search looks for the creation of WMI temporary event subscriptions.,['Windows Security'],"Adversary Tactics,",Advanced Threat Detection,['Execution'],['Windows Management Instrumentation'],['Actions On Objectives'],
Web Browsing to Unauthorized Sites,Detect users who are persistently attempting to violate your proxy policy.,['Web Proxy'],Insider Threat,Insider Threat,"['Exfiltration', 'Command and Control']","['Exfiltration Over Alternative Protocol', 'Application Layer Protocol', 'Web Service']",['Actions On Objectives'],((index=* sourcetype=pan*threat) OR tag=web) action=blocked user!=unknown app!=not-applicable  | stats count values(app) as apps values(category) as categories by user | where count>=30
Web Fraud - Account Harvesting,This search is used to identify the creation of multiple user accounts using the same email domain name.,['Web Server'],"Abuse,",Other,['Persistence'],['Create Account'],['Actions On Objectives'],
Web Fraud - Anomalous User Clickspeed,"This search is used to examine web sessions to identify those where the clicks are occurring too quickly for a human or are occurring with a near-perfect cadence (high periodicity or low standard deviation), resembling a script driven session.",['Web Server'],"Abuse,",Other,"['Defense Evasion', 'Persistence', 'Privilege Escalation', 'Initial Access']",['Valid Accounts'],['Actions On Objectives'],
Web Fraud - Password Sharing Across Accounts,This search is used to identify user accounts that share a common password.,['Web Server'],"Abuse,",Other,[],[],[],
Windows Event Log Cleared,This search looks for Windows events that indicate one of the Windows event logs has been purged.,['Windows Security'],Endpoint Compromise,Advanced Threat Detection,['Defense Evasion'],['Indicator Removal on Host'],['Actions On Objectives'],
Windows Event Log Clearing Events,This use case looks for Windows event codes that indicate the Windows Audit Logs were tampered with.,['Windows Security'],"Endpoint Compromise, Ransomware",Advanced Threat Detection,['Defense Evasion'],['Indicator Removal on Host'],['Actions On Objectives'],"index=* (source=""*WinEventLog:Security"" AND (EventCode=1102 OR EventCode=1100)) OR ((source=""*WinEventLog:System"") AND EventCode=104) | stats count by _time EventCode sourcetype host"
